,GEOID,FHVdiff,NYPDviolationDiff,NYPDmisdemeanorDiff,NYPDfelonyDiff,units,C1Diff,C2Diff,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
0,36047000100,53734.26569,10,-24,-17,106,268.674349,221.228009,-927.3227,16254,-0.0224,-1.11919081,0.002828048,0,-2
1,36047000200,12981.97157,2,-45,-2,,70.1532874,61.517968,-2046.26377,13653,-0.0072,0.85135135,-0.008857508,0.00015906,0
2,36047000301,50795.12162,-3,16,15,,0,0,3144.94739,10817,0.0052,1.71975181,-0.006191445,0.003594536,0
3,36047000501,20603.51739,2,-19,-10,62,0,0,-1917.9848,13505,-0.0156,-0.96495024,-0.011073408,-0.00378239,0
4,36047000502,23863.10789,4,10,0,,211.354329,195.8423703,481.5498,8841,-0.0362,-0.01998668,-0.02116165,0.009076559,-4
5,36047000700,42614.294,2,-2,-15,,140.696845,259.1694602,1204.33908,2506,-0.0032,-0.35010941,-0.012372078,0.001269629,-1
6,36047000900,39709.17052,9,44,28,,204.079848,224.0128203,1332.10639,3636,0.0094,0.21814007,-0.035701407,0.001147136,9
7,36047001100,54887.17286,-8,87,29,,0,175.3147823,2413.0785,6898,0.0406,0.07894737,0.000799981,0.017225748,0
8,36047001300,94858.51811,-3,-14,-1,369,54.5977012,167.3924321,26.613,-5562,-0.0069,-1.75950783,-0.00507665,0.000397591,0
9,36047001500,99904.64202,9,55,18,1045,83.3586155,109.7798309,3629.16978,4330,0.0006,-1.53595539,-0.014408812,0.000561813,2
10,36047001800,96220.68133,2,-14,2,,0,63.5895917,-2.170215,0,0,0,0,0,2
11,36047002000,7203.958657,3,-15,-16,,39.5883109,50.4827828,-1731.02402,612,-0.0005,-2.54464286,0.029585127,-0.01035503,3
12,36047002100,117890.393,15,19,2,42,123.970353,149.4713638,1743.92046,3035,0.0274,0.07876849,0.006900186,0.01518174,-7
13,36047002200,16096.58667,8,-19,-2,,32.2878862,60.6206756,570.35141,5520,-0.0271,3.49069767,0.009833911,0.000514761,-4
14,36047002300,43759.76647,-16,36,21,,0,163.7696287,668.82124,-941,0.0313,3.55577689,0.041998557,0.000893753,1
15,36047002901,23777.25691,17,19,-6,,0,54.791716,13537.781,3682,0.0278,-0.90791476,-0.034239453,-0.000527334,-1
16,36047003000,5238.866067,-5,8,-2,,59.5649371,6.7672797,-1133.53612,6250,0.0052,2.47093023,0.014195621,0.001560508,-1
17,36047003100,62282.39493,0,22,23,205,0,43.579348,377.26642,6811,0.0034,3.39695946,-0.008093909,-0.016631281,0
18,36047003300,35568.82468,-11,-15,-25,586,104.1952484,45.0054054,220.19214,9867,0.0039,-0.36854917,-0.015013518,0,7
19,36047003400,22378.18196,10,11,9,,67.8490273,-3.2203413,-1148.28329,-806,0.0076,-0.02468265,0.007368171,0,1
20,36047003500,28732.07543,-8,49,-2,,128.3613112,34.6009403,759.32037,-75,0.0548,-2.41881443,0.007568751,0.001274697,-1
21,36047003600,5862.479164,-18,-4,4,,40.1363742,19.7617318,-2377.26155,-491,0.0094,-0.43165115,-0.02172311,2.81E-05,1
22,36047003700,39527.03174,0,61,26,,63.5262272,187.9410935,1962.50083,26531,-0.0211,0.98013245,-0.01575847,0,-3
23,36047003800,5945.70141,0,9,7,,43.8207905,24.235271,-1907.6199,-2894,0.0391,1.86801242,-0.001311258,0,0
24,36047003900,36982.72204,7,11,-1,,138.6859682,204.000276,49.51068,1802,0.0147,0.18201595,-0.00491188,0.004103406,-5
25,36047004100,38209.46784,-4,-1,2,,203.0759351,204.1180089,1806.39236,22594,0.0674,-1.23080834,-0.016021822,0.000772861,2
26,36047004300,39216.90241,4,19,9,128,210.0330913,228.3178538,1074.76129,13902,-0.0272,-1.42941466,0.001546861,0.001417371,-2
27,36047004400,19566.5832,-16,36,26,,70.2680757,-5.5939678,-991.68638,-7758,0.0458,1.2778865,0.000816644,-0.002488594,0
28,36047004500,34023.80957,1,6,-8,,233.8084189,143.0195677,2232.51137,-1797,-0.0176,-0.0536193,-0.007218979,0.010667268,1
29,36047004600,13449.5525,5,26,21,,54.6112847,16.6559287,-708.22995,-14166,-0.0118,5.2074364,-0.006082546,-0.003580442,0
30,36047004700,20671.0095,6,-4,-10,,173.3700912,167.8324585,1983.42859,7600,0.0042,1.47189922,0.005265435,0.014785609,-1
31,36047004900,19447.80686,0,-5,-6,,301.0148749,143.8587993,2097.93393,-3200,0.0118,0.29435484,0.006692824,-0.006950142,-2
32,36047005000,10419.38037,-6,7,4,,63.715921,-15.789607,-648.5865,9943,0.0122,1.40016168,-0.01477375,-0.005388459,0
33,36047005100,12528.74726,-2,1,-5,,120.733622,191.3793835,3553.06979,5252,-0.1196,-2.17265088,-0.00163437,0,0
34,36047005201,6235.687783,5,-5,-4,,52.0008824,6.4351852,-1787.349,-10625,0.0143,1.61634103,0.012760598,0.002677108,0
35,36047005202,6120.788752,0,-5,0,,79.6681673,18.3641579,490.05252,1417,-0.0277,1.10429936,-0.005571161,-0.006247397,-2
36,36047005300,88932.02744,-4,8,7,70,103.7461178,104.9179877,1.571761,7784,-0.0184,-2.30642633,-0.027103825,0,4
37,36047005400,7554.435691,-8,-9,-14,,60.5513324,6.2550461,-3823.15605,3507,0.005,1.13664596,-0.008323739,0.006698565,-3
38,36047005601,8041.331403,3,7,9,,71.6375984,4.7041859,-2481.90805,6943,-0.0404,4.91983122,-0.015090431,0,0
39,36047005602,6197.08504,10,26,27,,65.5295693,26.8633684,-1711.11093,4315,-0.0712,2.95480881,-0.002505302,-0.004271744,1
40,36047005800,9045.490422,-9,-24,-16,,68.5921597,18.3455811,-3041.27226,-5442,-0.0028,3.24912034,0.019424418,-0.000367986,1
41,36047005900,19481.08586,9,9,-4,,121.2890352,105.4321391,-231.93051,9185,0.0033,-0.30098684,-0.007118044,0.000889809,-2
42,36047006000,7124.392498,-5,-8,-2,,44.3626039,-0.4513006,-2993.81222,6886,-0.0264,-0.9903537,-0.027804301,0,4
43,36047006200,7592.964661,1,20,13,,41.2433661,11.7321944,1564.14338,10885,0.0033,1.15047022,-0.054698726,-0.003337448,5
44,36047006300,14553.60305,-2,29,22,,181.4151046,183.6659751,-1719.82843,10673,0.0161,0.10009625,-0.008906237,0.002041257,-2
45,36047006400,9506.778344,4,-41,-18,,39.0160641,18.8990306,-3429.07933,-540,-0.0173,2.02981651,0.016120554,0,-2
46,36047006500,36071.8749,-1,-24,-20,,153.9664601,176.4743508,3622.88999,8660,-0.008,-0.80842558,0.008971442,0.000922681,4
47,36047006600,7193.68202,8,6,10,,58.3491533,10.823683,-4531.72492,837,-0.0567,0.75728155,-0.063043423,0.000154868,3
48,36047006700,31150.73988,-6,2,-5,,177.7312761,147.9427,1127.95215,-2816,0.0235,-0.6613806,-0.022713443,0.002700416,0
49,36047006800,8680.101709,-3,3,5,,41.4044958,6.9897087,-7804.48868,1066,-0.0078,-1.1698783,0.019620436,0.004768989,0
50,36047006900,42233.30802,-13,-8,-17,,210.24255,144.251915,-2386.31961,-2295,0.0012,-0.17618198,-0.000678228,0,0
51,36047007000,6931.707138,8,23,15,,26.7196748,2.1751758,123.10534,3073,0.0053,8.89968976,-0.062099125,-0.000832036,1
52,36047007100,40391.38847,-6,2,5,700,183.6371299,163.9348435,-912.12401,-5829,0.0032,0.5621079,0.00485257,-0.004471533,0
53,36047007200,2854.783286,0,19,11,,27.1202966,43.3218445,-8428.61802,-986,0.0005,4.04936975,0.001514492,0.002380952,0
54,36047007400,6578.577907,-2,-24,-16,,18.3454629,42.6989458,-5300.5194,-5753,0.0387,-0.97283531,0.012182001,0,2
55,36047007500,40917.54025,-7,20,2,,142.6365519,134.5317633,-2115.72402,471,0.0368,2.04945278,-0.01404899,-0.002857559,4
56,36047007600,6501.969125,-4,-23,-25,,41.1432458,62.3350667,3006.46899,873,-0.0173,1.61290323,-0.004421811,0.003198048,-1
57,36047007700,56499.3122,-1,3,8,,145.3055842,148.9700503,1955.36215,6696,0.0022,-0.39511439,0.004264492,-0.000101051,1
58,36047007800,6474.632837,6,-17,6,,42.0317239,53.6096589,468.803,3071,-0.0083,-1.65794611,-0.011621537,0.00017685,2
59,36047008000,6521.85498,15,0,2,,48.8857006,58.6422535,-4589.70586,4575,0.001,-0.7207473,-0.006977607,0.004563314,1
60,36047008200,6548.272005,-2,15,13,,62.5215408,52.1044358,3037.09447,5297,0.0542,0.64177598,-0.002962456,0.003733956,-2
61,36047008400,11433.83547,7,-36,-10,,79.260028,75.0618718,-829.18018,-4178,0.0426,1.06489676,-0.015784968,8.26E-05,-6
62,36047008500,13279.47555,-12,97,56,,0,135.6012891,3883.08298,229,-0.0308,-2.05099778,0.013774655,-0.00139925,-1
63,36047008600,4480.125885,-3,-4,-6,,0,6.3405797,0,0,0,0,0,0,0
64,36047008800,7469.510159,3,6,-5,,86.6309603,45.362592,27.35082,1300,-0.018,-0.23263889,-0.00869265,-0.034073623,-4
65,36047009000,5858.184493,-7,5,0,,43.8101826,55.1413648,-313.95511,1857,-0.0054,1.68446602,0.006647824,0.005393401,-4
66,36047009200,4467.163843,4,6,-2,,49.5473612,67.5356036,1852.9284,3454,0.0026,-1.54733219,0.011966443,-0.000295247,-1
67,36047009400,5959.03274,2,-1,-1,,44.6835969,56.3854387,-4561.73005,2122,-0.0367,1.34460548,-0.021492466,0.005577594,1
68,36047009600,5948.091659,-10,10,3,,70.1233196,66.0337132,2611.419,4074,0.0125,2.20212348,0.013997033,0.004491995,0
69,36047009800,5958.188183,-7,-11,-7,,54.6905068,53.6541314,-583.1206,6236,0.0148,3.51846154,-0.015345827,0.001346022,-3
70,36047010000,5956.777197,-5,24,8,,31.2666362,64.337456,5661.4069,1481,0.0156,0.68301479,-0.020662576,-0.00303815,2
71,36047010100,14790.07345,-2,2,-12,,76.3559027,67.7690528,-878.58404,14254,-0.0074,-0.49815328,-0.023243055,-0.004416241,-3
72,36047010200,6015.308607,1,12,8,,21.0116389,60.7338356,441.71722,5486,0.0353,-0.30189511,-0.000234153,0,6
73,36047010400,6009.732405,3,31,20,,29.0109304,59.2176184,-561.1856,349,-0.0063,-0.26678766,-0.041178876,0.014360232,10
74,36047010600,5955.291988,-10,4,-3,,62.5612806,53.4311667,-8700.10702,-1837,-0.0372,-2.84703196,-0.023776253,0.001419301,4
75,36047010800,5957.065499,-1,12,1,,70.9031711,55.0992041,-2727.58364,-63,-0.0127,-3.6583991,-0.008521154,0.000351431,-1
76,36047011000,6236.399155,-1,-12,-12,,36.9058133,45.620508,-622.67896,13031,-0.0244,-1.62978723,0.002581896,0,5
77,36047011200,6759.423714,-1,-6,-6,,20.8468347,38.3942196,2721.3222,-1725,0.0078,-6.07570978,-0.010228709,-0.006055615,-3
78,36047011400,6352.215929,-12,3,1,,39.54268,42.6213337,2531.45347,2156,0.0061,2.9535316,0.001994789,-0.008475815,2
79,36047011600,6067.266769,6,21,7,,46.3629087,52.7092792,-1373.65204,-87,-0.0086,-0.57279116,-0.021806715,-0.003725627,0
80,36047011700,26579.20727,-2,15,8,,130.5654905,134.3328306,1559.87793,7350,0.0088,-0.70451694,0.024266215,0,-1
81,36047011800,8650.12755,-7,29,19,,46.3934161,52.5497311,-661.57338,-2861,0.0287,-0.32741398,-0.018698189,0.000141485,0
82,36047011900,94930.55383,1,45,12,,123.7282291,104.0733688,156.560237,-7287,0.0287,0.08584169,-0.004147874,-0.001573143,-1
83,36047012000,7570.883815,2,-27,-15,,40.8186998,60.1821659,671.08568,22000,0.0164,0.61497326,0.001997404,-0.001163164,3
84,36047012100,19552.01693,-11,-4,-3,,156.2928167,21.2829427,-104.95721,3482,-0.01,-0.25114155,-0.003448737,-1.55E-05,-2
85,36047012200,8702.686086,-3,23,11,,33.8344153,54.3231497,1218.20142,839,-0.0276,2.42277633,-0.005754317,-0.000268126,1
86,36047012600,10888.79006,-5,75,46,,32.0038091,6.7552233,972.05468,4607,0.0158,1.41666667,0.013124936,-0.00729927,6
87,36047012700,38531.33882,-2,-2,-26,,99.4860925,139.0563669,4359.15235,3058,0.0245,1.13372377,0.013491322,0,6
88,36047012801,2776.254064,-2,30,23,,27.0699014,41.8666969,1013.66428,8029,-0.0671,2.96681922,-0.02082605,-0.000559157,4
89,36047012901,27516.82198,-6,-12,-28,,143.3994503,43.8861932,-2175.84487,10072,-0.0108,-0.16030534,-0.021397783,0.003318125,-1
90,36047012902,25540.22812,2,29,9,363,102.0539954,51.5228531,-3179.83219,19335,-0.0268,-0.27687916,-0.025975452,0.000403593,2
91,36047013000,8255.339217,7,-9,-18,,44.194874,8.4689611,-308.28725,-2663,0.0107,3.65876777,-0.011637034,0.00052144,0
92,36047013100,31420.92664,3,-2,-4,,98.6064564,38.5793287,-1772.09344,13189,0.0195,0.00362465,-0.017143741,0.003017594,7
93,36047013200,3735.505351,6,25,19,,75.5857449,3.5982249,-3532.47587,-366,0.0088,-4.0304878,0.002533876,0.00059404,3
94,36047013300,29836.43895,1,-5,-1,,43.9289428,12.3162865,-296.49551,-9987,0.0351,0.65526091,0.001494332,0.001049167,6
95,36047013400,12550.89047,0,12,3,,49.2455735,12.2457761,540.71431,4453,0.0094,4.22537473,0.00777344,-0.006510417,-3
96,36047013500,30512.45187,4,26,10,,131.9952535,15.8132466,-1705.43374,-13135,0.0104,0.61,-0.018238987,-0.003900299,0
97,36047013600,10081.38746,1,5,-3,,54.7788366,20.4186562,1595.53543,-667,-0.001,0.82729104,0.01603587,-0.001387483,3
98,36047013700,30630.18181,7,-9,-10,,126.4016782,20.4470749,3720.53672,2517,-0.0059,-3.22889007,0.025246048,-0.003743866,0
99,36047013800,7607.289297,6,-34,-36,,31.4768825,18.4850479,-3281.71204,725,0.0056,-1.80473752,-0.002695243,0.002835539,-9
100,36047013900,30405.02754,5,-16,-13,,166.3026322,94.5215703,-530.55126,7963,-0.0487,0.82336707,-0.020395242,0.001955929,6
101,36047014000,3536.392379,1,9,3,,38.4079691,16.3725596,990.32531,2120,0.0225,1.84352078,-0.006380027,0.000806098,-3
102,36047014100,33248.85761,-1,5,0,,119.3454029,155.6239169,-8498.5373,8828,0.0218,-0.60055096,-0.0353723,-0.019785651,-2
103,36047014200,9436.982019,-7,44,16,,42.5362075,13.6845795,1118.26847,4844,0.0066,1.81617139,-0.024521698,-0.004111434,0
104,36047014300,43619.2202,-7,-20,-14,,118.4684191,85.1824925,-584.41248,13433,-0.0206,-0.37751004,-0.002549451,-0.000689992,1
105,36047014500,10242.19804,-17,-4,-5,,105.0363402,80.0566232,983.81576,4010,0.0263,1.51746966,-0.013461853,0.002455156,-1
106,36047014700,4986.477985,-1,-4,-3,,141.1297727,45.8511753,3810.0747,239,0.0051,-0.2892562,0.0130799,-0.006977826,2
107,36047014800,3222.405557,3,11,1,,64.1117517,39.4512359,1571.94004,-284,0.0099,-2.07569721,0.008417445,0,0
108,36047014900,50206.48862,6,8,0,,155.5453664,107.6062207,440.07758,49,0.0345,1.66167569,0.011839447,0.000333635,-1
109,36047015000,3223.574,-10,8,3,,47.8101083,4.0299773,-3006.99031,-11250,0.0199,-0.46021841,-0.008510188,-0.003676471,-1
110,36047015100,29999.70854,5,7,4,,172.5830204,70.5858563,-2376.44295,2728,0.0153,0.38386308,-0.029968121,0.009922114,2
111,36047015200,6444.798003,-1,8,6,,50.7821852,-2.4894589,1193.71778,17346,-0.027,1.15625,-0.020626598,0.000129237,-1
112,36047015300,30233.70753,18,-3,4,,179.0350947,46.0537131,-3700.55174,31458,0.0466,-0.95522388,0.004115954,0.000298572,-6
113,36047015400,22233.25009,3,10,1,,0,9.3095423,0,0,0,0,0,0,0
114,36047015500,30066.59662,-1,13,3,,195.0683626,57.5052899,242.30649,853,0.0041,-1.28414352,-0.001265339,0.003286621,0
115,36047015700,33639.4313,-1,9,7,,128.5742283,79.4494753,-1407.69809,4083,0.024,-1.01697073,-0.005987101,-9.28E-05,-8
116,36047015900,50340.34497,10,13,2,,128.7527074,110.0439355,-330.40079,-3047,0.0311,2.69170109,0.00606624,0.011396175,-4
117,36047016000,12114.03397,-7,12,14,,50.5015154,13.7724441,-4863.92553,-826,-0.0154,1.57652534,-0.035600095,0.000730821,-2
118,36047016100,39622.07808,7,53,26,,164.8624675,107.6220535,1419.96028,7833,0.0124,1.13397129,-0.009823597,-0.000408212,3
119,36047016200,11110.46522,-5,1,0,,61.3378091,23.227071,-3055.66839,-560,-0.0164,0.76660988,0.01569797,-0.003137255,0
120,36047016300,39995.53597,3,17,10,278,183.7149701,92.753422,1069.23866,763,0.004,-0.38966873,0.000794007,0.000880006,1
121,36047016400,37009.35468,0,1,2,,26.3752879,18.8172043,-64.910808,-81,-0.0285,0.41304348,-0.022222222,-0.011388517,0
122,36047016500,37438.61772,2,-2,-2,,161.8061784,112.9449071,-1208.44151,24117,-0.0054,2.09000321,-0.022035075,0.006696777,0
123,36047016600,6445.158562,6,5,2,,26.6994987,2.1221952,-2309.28725,15230,-0.0187,2.02339181,-0.009858176,-0.00918318,-1
124,36047016700,33935.12898,0,0,-6,,181.0994299,63.1682498,3127.95011,22643,0.0299,1.08163265,-0.020539878,0.000138488,-3
125,36047016800,3976.533947,-14,-5,-3,,57.7598282,15.4347896,770.15928,-703,-0.0091,4.10486891,-0.015392169,-0.003376477,-1
126,36047016900,17392.70379,1,13,15,,147.5155332,61.8710969,-1199.4091,12847,0.002,2.4729356,-0.004285454,-0.024312444,2
127,36047017000,4991.162097,4,11,13,,49.8015763,8.8371266,-2230.11363,-1625,-0.0215,-2.43709004,-0.016497127,0.001495827,1
128,36047017100,17290.44797,-1,-12,-5,,154.6155104,71.1511141,534.78381,7955,-0.0095,0.33653846,-0.021980813,0.001255029,0
129,36047017200,4925.704537,-1,16,18,,52.5650737,2.3243761,-2046.35184,-4398,0.0024,-2.08611599,-0.001625917,0,2
130,36047017400,3930.483652,-10,5,0,,39.5708977,13.2872649,1291.32603,18558,-0.0107,0.24879808,-0.000394413,-0.009061834,1
131,36047017500,3336.502936,1,5,11,,0,70.3575548,0,0,0,0,0,0,0
132,36047017600,3187.592407,4,-13,-10,,63.2414739,16.6666667,2090.0949,-2703,-0.0037,1.4432529,-0.003271333,0,0
133,36047017700,39175.16387,0,14,-20,,0,121.4866335,0,0,0,0,0,0,0
134,36047017800,3916.347385,-11,-17,-11,,16.8725682,10.9529648,-110.53821,227,-0.0165,0.51655119,-0.007885187,0.00028196,-4
135,36047017900,34302.60349,-4,-12,-10,,9.8032156,52.813544,2332.01444,9283,0.0092,2.76866132,-0.019031985,0.001830536,1
136,36047018000,4204.94771,8,-13,-8,,45.5353954,15.3014035,-485.3006,12681,0.0222,0.80801688,-0.008394267,-0.000184156,-2
137,36047018100,36467.6461,-6,23,9,298,141.1741503,46.7761083,1641.33913,267,-0.0003,0.43975597,-0.034554217,-0.000751755,0
138,36047018200,5304.313247,2,-4,-17,,40.1011867,15.0537588,-907.84752,9647,-0.0037,1.73309609,-0.002478111,0,0
139,36047018300,29656.85733,-1,-24,-12,,131.2938207,38.7463611,4564.65428,430,0.0025,1.8221722,-0.01666415,-0.007221589,-3
140,36047018400,4780.555712,1,-2,-2,,54.7926183,18.185552,2900.32174,-272,0.0155,0.18623482,-0.000956523,0.003021383,0
141,36047018501,23994.5451,10,15,-2,,87.6572416,44.8757879,6384.0043,5486,-0.0479,-0.23554736,-0.118589687,-0.000773438,3
142,36047018600,3624.143667,5,-4,-1,,55.5710279,12.1731691,4971.14199,-1896,-0.003,0.31101512,0.01084653,-0.000531848,0
143,36047018700,18521.94102,4,6,17,,118.0964916,57.429993,2113.75128,-9716,0.0775,-1.65102639,0.008941742,-5.47E-05,1
144,36047018800,5616.663664,-4,1,-6,,51.6334355,22.4639966,-709.52848,4982,0.0102,-1.14133987,-0.016981317,0.009405045,-2
145,36047019000,6825.721478,0,13,4,,46.2819364,36.4503736,-2627.27899,-2362,0.0057,-0.45853659,-0.003492086,-0.002678273,-5
146,36047019100,48736.17772,2,-7,-1,,129.1186516,46.9975393,-2340.2936,4005,-0.0014,-2.13143736,-0.028640947,0.003378636,-4
147,36047019200,7184.877292,0,1,-7,,41.087906,58.3602482,1528.42191,903,-0.0106,-2.23502654,-0.007726108,0.000611038,3
148,36047019300,51984.29642,-3,2,-5,,62.0827834,43.3183252,1248.29675,-619,0.0027,0.61318795,-0.005044033,0,1
149,36047019400,4308.1677,-1,11,6,,26.1780856,58.7975235,754.83905,-6519,0.033,-4.59289176,0.036747739,-0.000286539,-4
150,36047019500,26407.79139,0,-4,-9,,169.8362407,35.8330501,-5708.47812,-5203,0.0188,0.66604565,-0.005518738,0,0
151,36047019600,4546.774933,-4,17,8,,45.7945886,45.000335,-3796.12592,-7748,0.0095,-0.62608225,0.014781614,0,-3
152,36047019700,32730.34929,-2,-3,-4,,142.4531465,47.4099099,1891.0901,4917,0.0008,-1.08757962,-0.036395338,0,3
153,36047019800,3252.779177,-3,0,0,,51.311918,16.1749919,-1941.79176,-1458,0.0215,0.20467033,-0.003196671,0.00385929,-2
154,36047019900,36411.51246,-1,14,6,,96.5203249,46.1094594,8102.54076,11441,0.0087,0.3498818,0.021542578,0,1
155,36047020000,3256.205344,-5,-7,-6,,33.8398604,13.6424907,1632.44947,-2028,0.0152,2.49182004,-0.024597766,-0.00191195,-7
156,36047020100,33800.52467,3,9,-6,,152.4716037,34.2713059,-856.54372,10597,-0.0235,0.41201717,-0.005717985,0.000911144,3
157,36047020200,3255.499832,4,-2,-9,,39.5962289,33.0135919,-2151.46669,-2860,-0.0296,3.7695962,0.014061432,-0.010654725,-1
158,36047020300,30578.97971,-3,17,15,,105.1548835,109.1611229,1618.19348,-3969,0.0067,2.05456453,-0.03639439,-0.000715509,0
159,36047020400,3254.819574,-1,2,0,,63.2831285,-7.5456354,1325.72151,4324,0.001,-2.40772532,-0.004441201,-7.01E-05,0
160,36047020500,34698.4013,11,2,-1,,153.7770283,93.9317419,-713.53512,2496,0.0392,2.96176822,0.011057037,0.003491497,-2
161,36047020600,4114.001432,1,8,8,,53.7906422,5.0959695,-2249.73002,-6149,0.0147,2.08264463,-0.023347182,0,1
162,36047020700,29857.42486,5,8,-2,,171.2546954,58.3664979,-4217.88234,1974,-0.001,-0.38455477,-0.020125584,0,2
163,36047020800,3460.420023,-3,-7,-6,,47.7233496,11.1828548,-1445.75333,-3503,0.0361,-1.06291149,0.015643474,0.00082159,-3
164,36047021000,3622.173763,-4,7,2,,49.678593,74.6701123,-7458.42144,864,0.0132,0.40827147,-0.037284716,-0.000597872,0
165,36047021100,37521.69113,-1,-5,-5,,133.6859171,42.1010776,2893.82947,2909,0.0207,0.13475177,-0.012380011,-0.000569398,-1
166,36047021200,4607.865083,3,5,-8,,67.387997,68.2736879,-515.7357,2738,0.0043,-6.52098881,0.000935971,0,7
167,36047021300,23928.47405,2,-27,-33,,90.4438511,178.6998088,-407.85444,2217,-0.0177,0.39725243,-0.015802073,0.003342086,-2
168,36047021400,6358.672733,-1,42,23,,53.7269022,53.0001813,-848.08816,1245,0.0297,-0.80381166,0.013742487,0.000495363,0
169,36047021500,32533.24031,-3,-6,3,,87.76536,147.7300395,502.88797,3075,0.0128,-0.93400649,0.016367607,-0.011114886,0
170,36047021600,6366.695777,-4,-8,-5,,33.6738739,53.2334904,1925.03489,1997,0.0317,2.41864018,0.02281543,-0.015467983,0
171,36047021700,17629.27385,-1,10,-8,,96.9997748,99.3823636,43.28425,3694,0.0102,-1.02110818,-0.053877083,0.000272861,-1
172,36047021800,5974.69061,4,-18,-11,,42.2471109,52.5414431,-131.28821,-5027,0.0733,0.76262626,0.026671693,0,0
173,36047021900,21673.93621,-8,-5,5,,87.5432367,166.3242334,387.49643,4445,-0.0025,-1.87941473,-0.011524501,0.00275558,2
174,36047022000,7354.899355,0,11,1,,20.7912208,59.1931758,2999.53491,260,0.001,-0.19784173,0.012153958,0.003409091,0
175,36047022100,22108.4474,-1,20,19,36,76.4789178,148.7098043,-4161.44715,5871,0.0546,-1.73446047,-0.003198777,0,-3
176,36047022200,6669.872318,-10,1,-3,,34.2987411,53.2734384,-5056.96643,-5163,-0.0179,-1.92913386,-0.015072818,0.005790963,2
177,36047022400,6646.368715,-4,-22,-19,,41.3089652,46.912108,-1268.69592,2568,0.0286,-4.35875564,0.006231724,0,1
178,36047022600,5912.715819,10,-6,-14,,45.945425,66.3074735,-2504.08293,-4172,0.0164,5.00492611,0.020065241,0.006018332,-3
179,36047022700,46399.03137,-15,-10,-5,100,74.5688824,32.492412,2657.13019,19399,0.015,0.05285868,-0.010153982,0.001535166,-5
180,36047022800,6336.681878,-5,-9,-3,,57.3027801,69.3009359,-835.61576,962,-0.0049,1.48428835,-0.025717989,0.000985073,-7
181,36047022900,33116.40201,3,-18,-10,,63.2338909,48.233455,-919.4365,8980,-0.0122,0.0526057,-0.019176207,-0.000251577,2
182,36047023000,5714.53917,0,-1,-7,,57.6976659,58.908851,5301.76588,5565,0.0056,-0.21119903,-0.020981914,7.51E-05,0
183,36047023100,30723.43979,-9,26,21,,127.0301396,60.885449,471.16547,-6136,0.0417,-1.7169615,-0.0213774,0,0
184,36047023200,8569.651329,1,14,7,,63.6752321,49.9511271,-1681.91079,-173,0.0009,-2.9801444,-0.004585553,0.006681503,-5
185,36047023300,27020.29673,11,30,5,,70.0923635,43.2932765,1145.47071,395,-0.0049,-1.72224781,-0.043231022,-0.003484025,5
186,36047023400,6427.600767,-4,-7,3,,49.1500478,50.2859145,-3127.2139,1067,-0.0135,-3.3,0.005021923,-0.000396966,0
